Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
88,2,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.6085000000000045,-53.89825697083985
89,3,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.6040000000000045,-35.499658629190876
90,3,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.5995000000000046,-69.24734160036701
91,2,[[-3.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.5950000000000046,-30.509494504356258
92,1,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.5905000000000047,-26.512779210593955
93,0,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.5860000000000047,77.20246582560341
94,1,[[-2.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.5815000000000048,-44.28934532336588
95,0,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.5770000000000048,-24.958749830005083
96,3,[[ 2.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.5725000000000049,-53.471680369969675
97,2,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.568000000000005,-84.6730952799168
98,0,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.563500000000005,-46.326558049478244
99,3,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.559000000000005,-31.698600134348247
100,1,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.5545000000000051,-33.5910358156129
101,1,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5500000000000052,-63.65178722902952
102,3,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.5455000000000052,-12.854657999249412
103,2,[[ 3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.5410000000000053,58.010641440954984
104,0,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.5365000000000053,-22.63073287953942
105,2,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5320000000000054,-20.168329898987327
106,1,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.5275000000000054,32.666166872954534
107,3,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.5230000000000055,89.02338014011157
108,2,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.5185000000000055,-64.71670464395561
109,1,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5140000000000056,-53.1302523272999
110,0,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.5095000000000056,-28.5500081406785
111,1,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5050000000000057,-28.424490215862377
112,0,[[ 1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5005000000000057,-26.283788819724172
113,1,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.4960000000000057,-37.85649571679801
114,0,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.4915000000000057,-28.500896165933284
115,1,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.4870000000000057,-33.55015511730018
116,3,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.4825000000000057,-44.796777342793916
117,2,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.4780000000000057,92.55483482536152
118,3,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.4735000000000057,-25.888326088346922
119,1,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.4690000000000057,-27.040519185312508
120,0,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],0,0,0,1,0.4645000000000057,-19.81090313916155
121,2,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.4600000000000057,-38.19222911579976
122,2,[[ 3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.4555000000000057,-48.10171973624051
123,0,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.4510000000000057,-72.85063202643688
124,0,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.44650000000000567,-22.44882635175594
125,2,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.44200000000000567,-68.07390123701856
126,3,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.43750000000000566,44.23130494584439
127,1,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.43300000000000566,119.84652684175043
128,1,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.42850000000000565,-34.37717538347478
129,3,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.42400000000000565,-14.671101459140548
130,0,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.41950000000000565,88.44828728722881
131,3,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.41500000000000564,-79.16838932655905
132,2,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.41050000000000564,91.63496753272382
133,3,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.40600000000000563,-19.996081844465195
134,1,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.40150000000000563,76.55698015695106
135,0,[[ 3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.3970000000000056,-7.375746815981948
136,0,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.3925000000000056,-38.076107439511716
137,2,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.3880000000000056,100.63696264389935
138,1,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.3835000000000056,105.05233766455427
139,3,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.3790000000000056,73.39949641484094
140,1,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.3745000000000056,-32.230988536172084
141,3,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.3700000000000056,-18.58510083005948
142,3,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.3655000000000056,-14.524970441438079
143,0,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.3610000000000056,120.70968499454713
